imagename,videoname,class
v000_01,v000,medium
v000_02,v000,medium
v000_03,v000,medium
v000_04,v000,medium
v000_05,v000,medium
v000_06,v000,medium
v000_07,v000,medium
v000_08,v000,medium
v000_09,v000,medium
v000_10,v000,medium
v000_11,v000,medium
v000_12,v000,medium
v000_13,v000,medium
v000_14,v000,medium
v000_15,v000,medium
v000_16,v000,medium
v000_17,v000,medium
v000_18,v000,medium
v000_19,v000,medium
v000_20,v000,medium
v000_21,v000,medium
v000_22,v000,medium
v000_23,v000,medium
v000_24,v000,medium
v000_25,v000,medium
v000_26,v000,medium
v000_27,v000,medium
v000_28,v000,medium
v000_29,v000,medium
v000_30,v000,medium
v000_31,v000,medium
v000_32,v000,medium
v000_33,v000,medium
v000_34,v000,medium
v000_35,v000,medium
v000_36,v000,medium
v000_37,v000,medium
v000_38,v000,medium
v000_39,v000,medium
v000_40,v000,medium
v000_41,v000,medium
v000_42,v000,medium
v000_43,v000,medium
v000_44,v000,medium
v000_45,v000,medium
v000_46,v000,medium
v000_47,v000,medium
v000_48,v000,medium
v000_49,v000,medium
v000_50,v000,medium
v000_51,v000,medium
v000_52,v000,medium
v000_53,v000,medium
v001_01,v001,medium
v001_02,v001,medium
v001_03,v001,medium
v001_04,v001,medium
v001_05,v001,medium
v001_06,v001,medium
v001_07,v001,medium
v001_08,v001,medium
v001_09,v001,medium
v001_10,v001,medium
v001_11,v001,medium
v001_12,v001,medium
v001_13,v001,medium
v001_14,v001,medium
v001_15,v001,medium
v001_16,v001,medium
v001_17,v001,medium
v001_18,v001,medium
v001_19,v001,medium
v001_20,v001,medium
v001_21,v001,medium
v001_22,v001,medium
v001_23,v001,medium
v001_24,v001,medium
v001_25,v001,medium
v001_26,v001,medium
v001_27,v001,medium
v001_28,v001,medium
v001_29,v001,medium
v001_30,v001,medium
v001_31,v001,medium
v001_32,v001,medium
v001_33,v001,medium
v001_34,v001,medium
v001_35,v001,medium
v001_36,v001,medium
v001_37,v001,medium
v001_38,v001,medium
v001_39,v001,medium
v001_40,v001,medium
v001_41,v001,medium
v001_42,v001,medium
v001_43,v001,medium
v001_44,v001,medium
v001_45,v001,medium
v001_46,v001,medium
v001_47,v001,medium
v001_48,v001,medium
v001_49,v001,medium
v001_50,v001,medium
v001_51,v001,medium
v001_52,v001,medium
v001_53,v001,medium
v002_01,v002,light
v002_02,v002,light
v002_03,v002,light
v002_04,v002,light
v002_05,v002,light
v002_06,v002,light
v002_07,v002,light
v002_08,v002,light
v002_09,v002,light
v002_10,v002,light
v002_11,v002,light
v002_12,v002,light
v002_13,v002,light
v002_14,v002,light
v002_15,v002,light
v002_16,v002,light
v002_17,v002,light
v002_18,v002,light
v002_19,v002,light
v002_20,v002,light
v002_21,v002,light
v002_22,v002,light
v002_23,v002,light
v002_24,v002,light
v002_25,v002,light
v002_26,v002,light
v002_27,v002,light
v002_28,v002,light
v002_29,v002,light
v002_30,v002,light
v002_31,v002,light
v002_32,v002,light
v002_33,v002,light
v002_34,v002,light
v002_35,v002,light
v002_36,v002,light
v002_37,v002,light
v002_38,v002,light
v002_39,v002,light
v002_40,v002,light
v002_41,v002,light
v002_42,v002,light
v002_43,v002,light
v002_44,v002,light
v002_45,v002,light
v002_46,v002,light
v002_47,v002,light
v002_48,v002,light
v002_49,v002,light
v002_50,v002,light
v002_51,v002,light
v002_52,v002,light
v002_53,v002,light
v003_01,v003,medium
v003_02,v003,medium
v003_03,v003,medium
v003_04,v003,medium
v003_05,v003,medium
v003_06,v003,medium
v003_07,v003,medium
v003_08,v003,medium
v003_09,v003,medium
v003_10,v003,medium
v003_11,v003,medium
v003_12,v003,medium
v003_13,v003,medium
v003_14,v003,medium
v003_15,v003,medium
v003_16,v003,medium
v003_17,v003,medium
v003_18,v003,medium
v003_19,v003,medium
v003_20,v003,medium
v003_21,v003,medium
v003_22,v003,medium
v003_23,v003,medium
v003_24,v003,medium
v003_25,v003,medium
v003_26,v003,medium
v003_27,v003,medium
v003_28,v003,medium
v003_29,v003,medium
v003_30,v003,medium
v003_31,v003,medium
v003_32,v003,medium
v003_33,v003,medium
v003_34,v003,medium
v003_35,v003,medium
v003_36,v003,medium
v003_37,v003,medium
v003_38,v003,medium
v003_39,v003,medium
v003_40,v003,medium
v003_41,v003,medium
v003_42,v003,medium
v003_43,v003,medium
v003_44,v003,medium
v003_45,v003,medium
v003_46,v003,medium
v003_47,v003,medium
v003_48,v003,medium
v003_49,v003,medium
v003_50,v003,medium
v003_51,v003,medium
v003_52,v003,medium
v003_53,v003,medium
v004_01,v004,medium
v004_02,v004,medium
v004_03,v004,medium
v004_04,v004,medium
v004_05,v004,medium
v004_06,v004,medium
v004_07,v004,medium
v004_08,v004,medium
v004_09,v004,medium
v004_10,v004,medium
v004_11,v004,medium
v004_12,v004,medium
v004_13,v004,medium
v004_14,v004,medium
v004_15,v004,medium
v004_16,v004,medium
v004_17,v004,medium
v004_18,v004,medium
v004_19,v004,medium
v004_20,v004,medium
v004_21,v004,medium
v004_22,v004,medium
v004_23,v004,medium
v004_24,v004,medium
v004_25,v004,medium
v004_26,v004,medium
v004_27,v004,medium
v004_28,v004,medium
v004_29,v004,medium
v004_30,v004,medium
v004_31,v004,medium
v004_32,v004,medium
v004_33,v004,medium
v004_34,v004,medium
v004_35,v004,medium
v004_36,v004,medium
v004_37,v004,medium
v004_38,v004,medium
v004_39,v004,medium
v004_40,v004,medium
v004_41,v004,medium
v004_42,v004,medium
v004_43,v004,medium
v004_44,v004,medium
v004_45,v004,medium
v004_46,v004,medium
v004_47,v004,medium
v004_48,v004,medium
v004_49,v004,medium
v004_50,v004,medium
v004_51,v004,medium
v004_52,v004,medium
v005_01,v005,medium
v005_02,v005,medium
v005_03,v005,medium
v005_04,v005,medium
v005_05,v005,medium
v005_06,v005,medium
v005_07,v005,medium
v005_08,v005,medium
v005_09,v005,medium
v005_10,v005,medium
v005_11,v005,medium
v005_12,v005,medium
v005_13,v005,medium
v005_14,v005,medium
v005_15,v005,medium
v005_16,v005,medium
v005_17,v005,medium
v005_18,v005,medium
v005_19,v005,medium
v005_20,v005,medium
v005_21,v005,medium
v005_22,v005,medium
v005_23,v005,medium
